"Payment error","Napaka pri plačilu"
"Payment information:","Informacije o plačilu:"
"Order ID","Številka naročila"
"Authorization code","Autorizacijska koda"
"Unique Internet transaction ID","Edinstvena koda spletne transkacije"
"Response","Odgovor"
"Transaction status code","Koda statusa transakcije"
"Unique transaction ID","Edinstvena koda transakcije"
"Transaction Date","Datum transakcije"
"There has been an error while processing your payment, please try again later.","Prišlo je do napake pri obdelavi vašega plačila. Prosimo preverite stanje na vaši kartici in pravilnost vpisanih podatkov ter poizkusite ponovno."
"You will receive an order confirmation email with details of your order and a link to track the progress.","Na vaš email naslov smo vam poslali potrditev naročila z vsemi podrobnostmi"
"Your order has been received.","Vaše naročilo je sprejeto."
"Thank you for your purchase!","Hvala za vaše naročilo"
"Your order # is: ","Vaše naročilo #"
"Name and Surname","Ime in Priimek"
"Address","Naslov"
"Post code","Poštna številka"
"City","Mesto"
"Country","Država"
"Billing information","Informacije o plačilu"
"Payment failed #","Plačilo neuspešno #"
"Payment successful #","Plačilo uspešno #"
"Redirecting to Nestpay Payment Gateway...","Preusmerjam na Nestpay Gateway..."
